City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vardo,NO,70.3705,31.1107,17.6,73,20,9.22,few clouds
1,Itoman,JP,26.1247,127.6694,68.0,64,40,20.71,scattered clouds
2,Komatipoort,ZA,-25.4332,31.9548,73.0,98,78,7.25,light rain
3,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,90,10.36,light snow
4,Turbat,PK,26.0023,63.044,60.42,51,0,4.07,clear sky
5,Cherskiy,RU,68.75,161.3,-5.19,91,92,2.21,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,50.0,62,40,12.66,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,80.31,76,99,15.93,light rain
8,Goderich,CA,43.7501,-81.7165,17.6,73,100,8.05,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,59.0,75,100,11.01,overcast clouds
10,Feuchtwangen,DE,49.1667,10.3333,21.2,86,1,5.75,clear sky
11,Qaanaaq,GL,77.484,-69.3632,6.84,90,99,3.96,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,50.0,66,40,17.27,scattered clouds
13,Chokurdakh,RU,70.6333,147.9167,-7.49,90,100,12.41,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,69.01,95,100,3.0,light rain
15,Busselton,AU,-33.65,115.3333,75.11,59,100,7.2,overcast clouds
16,Kamaishi,JP,39.2667,141.8833,37.4,87,75,2.3,moderate rain
17,Abu Kamal,SY,34.4506,40.9171,57.43,47,0,8.37,clear sky
18,San Ramon,US,37.7799,-121.978,55.4,58,90,6.91,overcast clouds
19,Baruun-Urt,MN,46.6806,113.2792,-7.01,86,100,7.2,overcast clouds
20,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,88,0,5.75,light rain
21,Airai,TL,-8.9266,125.4092,68.65,86,93,3.02,overcast clouds
22,Riccione,IT,44.0051,12.6447,33.01,59,20,6.91,few clouds
23,Barrow,US,71.2906,-156.7887,-11.2,70,90,5.75,overcast clouds
24,Nikolskoye,RU,59.7035,30.7861,3.2,78,75,8.95,light snow
25,Phalaborwa,ZA,-23.943,31.1411,73.4,94,100,5.75,light rain
26,Hatillo,PR,18.4863,-66.8254,75.99,78,40,11.5,scattered clouds
27,Mandalgovi,MN,45.7625,106.2708,16.88,84,81,21.41,broken clouds
28,Torbay,CA,47.6666,-52.7314,23.0,79,75,11.5,broken clouds
29,Taitung,TW,22.7583,121.1444,64.4,88,75,4.61,broken clouds
30,Mehamn,NO,71.0357,27.8492,25.27,96,100,9.1,light snow
31,Saldanha,ZA,-33.0117,17.9442,64.4,77,0,5.75,clear sky
32,Tommot,RU,58.9564,126.2925,-12.95,85,100,5.86,overcast clouds
33,San Jose,US,37.3394,-121.895,57.2,47,90,3.0,overcast clouds
34,Atuona,PF,-9.8,-139.0333,79.16,73,1,11.27,clear sky
35,Faya,SA,18.3851,42.4509,57.2,62,0,8.05,clear sky
36,Oschersleben,DE,52.0333,11.25,15.01,88,100,3.0,overcast clouds
37,Albany,US,42.6001,-73.9662,26.01,58,100,5.01,overcast clouds
38,Hobart,AU,-42.8794,147.3294,64.0,72,75,5.75,broken clouds
39,Wonthaggi,AU,-38.6044,145.5913,75.0,65,2,11.48,clear sky
40,Victoria,HK,22.2855,114.1577,69.01,75,0,4.12,clear sky
41,Boa Vista,BR,2.8197,-60.6733,84.2,58,40,11.5,scattered clouds
42,Yurimaguas,PE,-5.9,-76.0833,79.02,77,100,1.68,overcast clouds
43,Esperance,AU,-33.8667,121.9,69.8,56,21,12.66,few clouds
44,Kupang,ID,-10.1667,123.5833,82.4,94,40,8.05,scattered clouds
45,Hermanus,ZA,-34.4187,19.2345,63.0,74,70,3.0,broken clouds
46,Constitucion,CL,-35.3333,-72.4167,57.36,84,0,7.81,clear sky
47,Vaini,TO,-21.2,-175.2,86.0,74,40,8.05,light rain
48,Dubbo,AU,-32.25,148.6167,75.2,43,0,17.27,clear sky
49,Alice Springs,AU,-23.7,133.8833,87.01,23,0,14.97,clear sky
50,Deputatskiy,RU,69.3,139.9,-5.71,93,100,2.98,light snow
51,Dikson,RU,73.5069,80.5464,-19.97,87,100,13.94,overcast clouds
52,Yarada,IN,17.65,83.2667,66.2,100,68,2.3,mist
53,Puerto Ayora,EC,-0.7393,-90.3518,75.99,94,58,1.99,broken clouds
54,Kenai,US,60.5544,-151.2583,25.0,54,1,13.8,clear sky
55,Dunedin,NZ,-45.8742,170.5036,60.01,84,79,1.01,broken clouds
56,Shingu,JP,33.7333,135.9833,55.4,94,75,23.02,mist
57,Kapaa,US,22.0752,-159.319,78.8,73,1,11.5,clear sky
58,Dzerzhinskoye,RU,56.8344,95.2283,-16.89,88,79,3.38,broken clouds
59,Bella Union,UY,-30.2752,-57.6007,74.14,68,85,3.85,overcast clouds
60,Bilibino,RU,68.0546,166.4372,3.94,88,96,1.14,overcast clouds
61,Cape Town,ZA,-33.9258,18.4232,66.99,52,75,5.75,broken clouds
62,Belaya Gora,RU,68.5333,146.4167,-13.04,90,100,7.02,overcast clouds
63,Georgetown,MY,5.4112,100.3354,78.8,83,20,3.44,few clouds
64,Amahai,ID,-3.3333,128.9167,82.38,74,99,5.28,overcast clouds
65,Geraldton,AU,-28.7667,114.6,78.8,65,0,12.66,clear sky
66,Vostok,RU,46.4856,135.8833,11.12,96,100,4.41,light snow
67,Mishelevka,RU,52.8575,103.1719,-5.75,89,98,7.63,overcast clouds
68,Mahasamund,IN,21.1,82.1,61.36,45,0,3.74,clear sky
69,Hilo,US,19.7297,-155.09,80.6,65,40,12.66,scattered clouds
70,Mahebourg,MU,-20.4081,57.7,73.4,94,40,5.95,scattered clouds
71,Nanortalik,GL,60.1432,-45.2371,22.87,93,35,8.39,scattered clouds
72,Tuatapere,NZ,-46.1333,167.6833,59.0,75,100,11.01,overcast clouds
73,Chuy,UY,-33.6971,-53.4616,69.84,90,100,4.7,heavy intensity rain
74,Jamestown,US,42.097,-79.2353,19.0,73,1,3.67,clear sky
75,Norman Wells,CA,65.282,-126.8329,-13.0,77,75,2.3,light snow
76,Parksville,CA,49.3163,-124.3195,35.6,89,100,24.16,light snow
77,Vytegra,RU,61.0064,36.4481,-11.11,89,19,4.47,few clouds
78,Saint-Georges,GD,12.0564,-61.7485,78.8,78,40,17.27,scattered clouds
79,Luwuk,ID,-0.9516,122.7875,84.43,66,92,0.81,overcast clouds
80,Upernavik,GL,72.7868,-56.1549,-1.71,91,100,2.53,overcast clouds
81,Lebu,CL,-37.6167,-73.65,57.94,81,0,18.19,clear sky
82,Meulaboh,ID,4.1363,96.1285,77.13,86,79,5.37,broken clouds
83,Bethel,US,41.3712,-73.414,33.8,64,90,4.61,overcast clouds
84,Rustenburg,ZA,-25.6676,27.2421,70.72,78,100,3.36,overcast clouds
85,Nhulunbuy,AU,-12.2333,136.7667,84.2,79,75,9.22,broken clouds
86,Kitob,UZ,39.0843,66.8332,44.6,61,0,4.61,clear sky
87,Severo-Kurilsk,RU,50.6789,156.125,26.64,94,82,10.74,light snow
88,Bluff,NZ,-46.6,168.3333,59.0,75,91,11.01,overcast clouds
89,Bandarbeyla,SO,9.4942,50.8122,73.51,74,53,8.12,broken clouds
90,Castro,BR,-24.7911,-50.0119,62.62,95,2,4.36,clear sky
91,Bambous Virieux,MU,-20.3428,57.7575,75.99,94,40,5.23,scattered clouds
92,Saskylakh,RU,71.9167,114.0833,-20.61,85,100,13.51,overcast clouds
93,Angoram,PG,-4.0625,144.0661,79.18,89,100,1.88,overcast clouds
94,Balykshi,KZ,47.0667,51.8667,26.6,86,96,6.71,mist
95,Sawtell,AU,-30.3833,153.1,78.01,57,75,20.71,broken clouds
96,Butaritari,KI,3.0707,172.7902,80.08,78,95,19.48,overcast clouds
97,Hit,IQ,33.6416,42.8251,60.44,43,0,5.97,clear sky
98,Santa Cruz,BO,-17.8,-63.1667,78.8,83,75,5.75,broken clouds
99,Touros,BR,-5.1989,-35.4608,80.6,78,20,6.91,few clouds
100,Sitka,US,57.0531,-135.33,35.6,44,90,6.91,overcast clouds
101,Khatanga,RU,71.9667,102.5,-37.05,83,44,1.19,scattered clouds
102,Bredasdorp,ZA,-34.5322,20.0403,62.6,72,4,9.22,clear sky
103,Da Lat,VN,11.9465,108.4419,62.69,51,78,1.95,broken clouds
104,Port Blair,IN,11.6667,92.75,77.0,88,40,2.3,mist
105,La Rioja,ES,42.25,-2.5,46.4,87,90,16.11,overcast clouds
106,Hendaye,FR,43.3717,-1.7738,57.2,54,0,10.36,clear sky
107,San Quintin,MX,30.4833,-115.95,58.57,65,87,16.8,overcast clouds
108,Chimbote,PE,-9.0853,-78.5783,72.25,80,31,7.96,scattered clouds
109,Sinnamary,GF,5.3833,-52.95,77.65,82,100,15.21,overcast clouds
110,New Norfolk,AU,-42.7826,147.0587,64.0,66,100,1.99,overcast clouds
111,Mahanoro,MG,-19.9,48.8,73.51,88,100,5.32,overcast clouds
112,Midland,US,31.9974,-102.0779,6.8,72,1,10.36,clear sky
113,Yangambi,CD,0.8102,24.4336,73.94,80,100,2.42,overcast clouds
114,Fortuna,US,40.5982,-124.1573,48.99,100,90,17.27,overcast clouds
115,Pangoa,PE,-12.1167,-73.0,70.66,94,100,1.16,overcast clouds
116,Port-Cartier,CA,50.0334,-66.8654,14.0,79,90,3.44,light snow
117,Loreto,MX,22.2667,-101.9667,58.21,30,0,17.29,clear sky
118,Strezhevoy,RU,60.7333,77.5889,6.8,85,90,17.9,heavy snow
119,Verkhnyaya Inta,RU,65.9811,60.3094,-9.42,84,100,15.55,overcast clouds
120,Pevek,RU,69.7008,170.3133,-18.11,86,0,1.43,clear sky
121,Torrevieja,ES,37.9787,-0.6822,57.0,79,88,3.0,overcast clouds
122,Cody,US,44.5263,-109.0565,-2.0,71,90,5.75,overcast clouds
123,Vao,NC,-22.6667,167.4833,79.79,77,70,11.43,broken clouds
124,Hervey Bay,AU,-25.2986,152.8535,79.0,72,100,8.99,overcast clouds
125,Chittaurgarh,IN,24.8833,74.6333,58.78,33,0,2.15,clear sky
126,Bam,IR,29.106,58.357,55.83,31,0,7.47,clear sky
127,Richards Bay,ZA,-28.783,32.0377,75.22,94,96,3.94,light rain
128,College,US,64.8569,-147.8028,7.0,71,1,1.05,clear sky
129,Gat,IL,31.61,34.7642,57.0,100,2,1.03,clear sky
130,Tiksi,RU,71.6872,128.8694,-20.25,88,98,6.29,overcast clouds
131,Nabire,ID,-3.3667,135.4833,86.25,58,96,2.42,overcast clouds
132,Ushtobe,KZ,45.2514,77.9838,24.89,88,0,4.12,clear sky
133,Sarangani,PH,5.4033,125.4636,79.9,82,100,7.83,overcast clouds
134,Lagos,NG,6.5833,3.75,79.65,85,0,5.26,clear sky
135,Ambulu,ID,-8.345,113.6058,80.33,79,56,2.82,broken clouds
136,Turukhansk,RU,65.8167,87.9833,-28.28,78,6,11.68,clear sky
137,Oum Hadjer,TD,13.2954,19.6966,73.67,20,0,8.23,clear sky
138,Leh,IN,34.1667,77.5833,6.33,73,52,2.42,broken clouds
139,Buchanan,LR,5.8808,-10.0467,79.61,86,0,6.24,clear sky
140,Sioux Falls,US,43.55,-96.7003,-11.2,53,40,4.61,scattered clouds
141,Natal,BR,-5.795,-35.2094,80.6,78,40,10.36,scattered clouds
142,Zamora,EC,-4.0692,-78.9567,69.08,72,96,4.05,overcast clouds
143,East London,ZA,-33.0153,27.9116,73.72,84,74,15.46,broken clouds
144,Hay River,CA,60.8156,-115.7999,5.0,61,0,4.61,clear sky
145,Itacarambi,BR,-15.1022,-44.0919,74.14,72,100,1.45,light rain
146,Nome,US,64.5011,-165.4064,19.4,58,90,9.22,overcast clouds
147,Yellowknife,CA,62.456,-114.3525,-5.01,77,1,9.22,clear sky
148,Cururupu,BR,-1.8283,-44.8683,76.96,90,100,3.71,overcast clouds
149,Bontang,ID,0.1333,117.5,79.86,72,100,2.73,overcast clouds
150,Inta,RU,66.0317,60.1659,-9.62,85,100,14.09,overcast clouds
151,Thompson,CA,55.7435,-97.8558,-2.2,71,20,5.75,few clouds
152,Aktau,KZ,43.65,51.2,39.2,75,90,2.24,overcast clouds
153,Shadrinsk,RU,56.0852,63.6335,13.21,92,15,16.46,few clouds
154,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,23.02,scattered clouds
155,Husavik,IS,66.0449,-17.3389,39.2,75,40,11.5,moderate rain
156,Dongzhen,CN,22.3797,110.9389,67.66,65,0,0.45,clear sky
157,Vestmannaeyjar,IS,63.4427,-20.2734,41.88,81,100,4.94,overcast clouds
158,Angoche,MZ,-16.2325,39.9086,79.59,79,100,14.79,overcast clouds
159,Butajira,ET,8.1167,38.3667,59.9,45,43,4.5,scattered clouds
160,Karakol,KG,42.4907,78.3936,25.56,82,0,5.59,clear sky
161,Tecate,MX,32.5667,-116.6333,60.01,61,100,3.0,overcast clouds
162,Melfi,IT,40.9965,15.6514,26.01,80,75,16.11,broken clouds
163,Ilulissat,GL,69.2167,-51.1,8.6,56,90,10.36,overcast clouds
164,New Ulm,US,44.3125,-94.4605,-13.0,58,1,8.05,clear sky
165,Avarua,CK,-21.2078,-159.775,86.0,74,80,9.22,broken clouds
166,Mar Del Plata,AR,-38.0023,-57.5575,69.01,94,75,3.44,broken clouds
167,Hithadhoo,MV,-0.6,73.0833,82.4,75,1,7.87,clear sky
168,Pouebo,NC,-20.4,164.5667,83.35,68,49,5.12,scattered clouds
169,Bonavista,CA,48.6499,-53.1147,21.99,73,100,8.05,overcast clouds
170,Kryve Ozero,UA,47.9524,30.3493,12.83,96,18,5.61,few clouds
171,Namatanai,PG,-3.6667,152.4333,85.26,69,61,7.14,broken clouds
172,Port Lincoln,AU,-34.7333,135.8667,68.31,70,4,11.86,clear sky
173,Noumea,NC,-22.2763,166.4572,88.0,66,0,8.05,clear sky
174,Pinotepa Nacional,MX,16.3167,-98.0167,69.53,66,0,4.63,clear sky
175,Do Gonbadan,IR,30.3586,50.7981,44.6,70,0,1.36,clear sky
176,Adrar,MR,20.5022,-10.0711,66.16,24,0,12.97,clear sky
177,Ust-Kuyga,RU,70.0167,135.6,-12.28,85,100,5.57,overcast clouds
178,Kununurra,AU,-15.7667,128.7333,84.2,89,90,4.61,overcast clouds
179,Baykit,RU,61.67,96.37,-31.81,77,0,1.45,clear sky
180,Ust-Barguzin,RU,53.45,108.9833,-7.26,89,98,3.58,overcast clouds
181,Totness,SR,5.8833,-56.3167,77.86,79,76,14.2,broken clouds
182,Durban,ZA,-29.8579,31.0292,78.01,94,20,1.14,moderate rain
183,Chase,CA,50.8165,-119.6857,30.2,50,96,1.14,overcast clouds
184,Tual,ID,-5.6667,132.75,82.71,75,100,12.71,light rain
185,Camacha,PT,33.0833,-16.3333,57.2,88,20,3.44,few clouds
186,Bengkulu,ID,-3.8004,102.2655,79.0,82,1,4.79,clear sky
187,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,40,18.41,scattered clouds
188,Nelson Bay,AU,-32.7167,152.15,72.0,64,90,23.02,overcast clouds
189,Ribeira Grande,PT,38.5167,-28.7,54.05,74,100,27.87,overcast clouds
190,Mantua,IT,45.1667,10.7833,28.0,77,0,4.29,clear sky
191,Bilma,NE,18.6853,12.9164,69.57,22,0,10.47,clear sky
192,Kaili,ID,-3.4626,120.2147,75.81,74,100,1.01,overcast clouds
193,Salgado,BR,-11.0319,-37.475,80.6,65,20,11.5,few clouds
194,Moose Factory,CA,51.2585,-80.6094,-7.6,77,1,4.61,clear sky
195,Bolgatanga,GH,10.7856,-0.8514,82.13,14,2,5.79,clear sky
196,Nisia Floresta,BR,-6.0911,-35.2086,80.6,78,40,10.36,scattered clouds
197,Terrace Bay,CA,48.7834,-87.1,-4.0,77,78,4.61,broken clouds
198,Tasiilaq,GL,65.6145,-37.6368,30.2,80,90,3.44,overcast clouds
199,Matamoros,MX,25.5333,-103.25,80.6,7,75,20.71,broken clouds
200,Padang,ID,-0.9492,100.3543,78.8,94,40,1.14,scattered clouds
201,Alta Floresta,BR,-9.8756,-56.0861,69.94,99,100,1.7,overcast clouds
202,Aykhal,RU,66.0,111.5,-29.52,82,100,9.1,overcast clouds
203,Mayo,US,38.8876,-76.5119,35.6,87,90,3.44,mist
204,Gavle,SE,60.6745,17.1417,19.99,91,0,4.12,clear sky
205,Paamiut,GL,61.994,-49.6678,9.01,89,37,12.77,scattered clouds
206,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,3.44,clear sky
207,La Victoria,VE,10.2184,-67.3302,80.6,61,40,8.05,scattered clouds
208,Villa Guerrero,MX,18.8667,-99.65,80.6,18,1,4.61,clear sky
209,Hamilton,US,39.1834,-84.5333,24.01,68,90,11.5,overcast clouds
210,Sanjwal,PK,33.7608,72.4336,51.01,70,0,3.78,clear sky
211,Trincomalee,LK,8.5711,81.2335,78.48,76,12,9.19,few clouds
212,Provideniya,RU,64.3833,-173.3,14.0,73,75,13.42,broken clouds
213,Hami,CN,42.8,93.45,27.93,85,35,3.29,scattered clouds
214,Kruisfontein,ZA,-34.0033,24.7314,69.01,82,99,4.0,overcast clouds
215,Guerrero Negro,MX,27.9769,-114.0611,59.54,67,52,19.17,broken clouds
216,Viedma,AR,-40.8135,-62.9967,64.0,74,96,20.78,overcast clouds
217,Igarka,RU,67.4667,86.5833,-33.54,78,0,7.45,clear sky
218,Kolosovka,RU,56.4678,73.611,25.65,95,95,16.82,overcast clouds
219,Amparafaravola,MG,-17.5833,48.2167,66.38,95,100,1.83,overcast clouds
220,Colares,PT,38.7992,-9.4469,55.99,61,10,7.18,clear sky
221,Rio Grande,BR,-32.035,-52.0986,68.0,96,100,4.59,overcast clouds
222,Kananga,CD,-5.8958,22.4178,70.88,85,84,1.9,broken clouds
223,Warrnambool,AU,-38.3833,142.4833,65.73,62,100,9.89,overcast clouds
224,Aswan,EG,24.0934,32.907,61.47,31,0,10.4,clear sky
225,Longyearbyen,SJ,78.2186,15.6401,17.6,73,75,3.44,broken clouds
